medicine_name,authorisation_no,pharmaceutical_form_lv,active_substance,Aizliegts ārpus sacensībām,Aizliegts sacensību laikā,Aizliegto vielu un metožu saraksta klase,Piezīmes par lietošanu,"Sporta veidi, kuros aizliegts sacensību laikā","Sporta veidi, kuros aizliegts ārpus sacensībām",Notes,Prohibited In-Competition in the following sports,Prohibited Out-of-Competition in the following sports
Magne B6 šķīdums iekšķīgai lietošanai,97-0253,Šķīdums iekšķīgai lietošanai,"Magnesii lactas, Pyridoxini hydrochloridum, Magnesii pidolas",Nē,Nē,,,,,,,
Magne B6 48 mg/5 mg apvalkotās tabletes,I000062,Apvalkotā tablete,"Magnesii lactas, Pyridoxini hydrochloridum",Nē,Nē,,,,,,,
Thiogamma 600 mg apvalkotās tabletes,02-0165,Apvalkotā tablete,Acidum thiocticum,Nē,Nē,,,,,,,
Thioctacid HR 600 mg apvalkotās tabletes,96-0380,Apvalkotā tablete,Acidum thiocticum,Nē,Nē,,,,,,,
Thiogamma 300 mg kapsulas,99-0826,Kapsula,Acidum thiocticum,Nē,Nē,,,,,,,
Zavesca,EU/1/02/238/001,"Kapsula, cietā",Miglustatum,Nē,Nē,,,,,,,
Carbaglu,EU/1/02/246/001,Disperģējamā tablete,Acidum carglumicum,Nē,Nē,,,,,,,
Carbaglu,EU/1/02/246/002,Disperģējamā tablete,Acidum carglumicum,Nē,Nē,,,,,,,
Carbaglu,EU/1/02/246/003,Disperģējamā tablete,Acidum carglumicum,Nē,Nē,,,,,,,
Wilzin,EU/1/04/286/001,"Kapsula, cietā",Zincum,Nē,Nē,,,,,,,
Wilzin,EU/1/04/286/002,"Kapsula, cietā",Zincum,Nē,Nē,,,,,,,
Orfadin,EU/1/04/303/001,"Kapsula, cietā",Nitisinonum,Nē,Nē,,,,,,,
Orfadin,EU/1/04/303/002,"Kapsula, cietā",Nitisinonum,Nē,Nē,,,,,,,
Orfadin,EU/1/04/303/003,"Kapsula, cietā",Nitisinonum,Nē,Nē,,,,,,,
Orfadin,EU/1/04/303/004,"Kapsula, cietā",Nitisinonum,Nē,Nē,,,,,,,
Orfadin,EU/1/04/303/005,Suspensija iekšķīgai lietošanai,Nitisinonum,Nē,Nē,,,,,,,
Cystadane,EU/1/06/379/001,Pulveris iekšķīgai lietošanai,Betainum anhydricum,Nē,Nē,,,,,,,
Kuvan,EU/1/08/481/001,Šķīdināmā tablete,Sapropterinum,Nē,Nē,,,,,,,
Kuvan,EU/1/08/481/002,Šķīdināmā tablete,Sapropterinum,Nē,Nē,,,,,,,
Kuvan,EU/1/08/481/002-P01,Šķīdināmā tablete,Sapropterinum,Nē,Nē,,,,,,,
Kuvan,EU/1/08/481/003,Šķīdināmā tablete,Sapropterinum,Nē,Nē,,,,,,,
Kuvan,EU/1/08/481/004,Pulveris iekšķīgi lietojama šķīduma pagatavošanai,Sapropterinum,Nē,Nē,,,,,,,
Kuvan,EU/1/08/481/005,Pulveris iekšķīgi lietojama šķīduma pagatavošanai,Sapropterinum,Nē,Nē,,,,,,,
Pheburane,EU/1/13/822/001,Granulas,Natrii phenylbutyras,Nē,Nē,,,,,,,
PROCYSBI,EU/1/13/861/001,"Zarnās šķīstošā kapsula, cietā",Mercaptaminum,Nē,Nē,,,,,,,
PROCYSBI,EU/1/13/861/002,"Zarnās šķīstošā kapsula, cietā",Mercaptaminum,Nē,Nē,,,,,,,
PROCYSBI,EU/1/13/861/003,Zarnās šķīstošās granulas,Mercaptaminum,Nē,Nē,,,,,,,
PROCYSBI,EU/1/13/861/004,Zarnās šķīstošās granulas,Mercaptaminum,Nē,Nē,,,,,,,
Cerdelga,EU/1/14/974/001,"Kapsula, cietā",Eliglustatum,Nē,Nē,,,,,,,
Cerdelga,EU/1/14/974/002,"Kapsula, cietā",Eliglustatum,Nē,Nē,,,,,,,
Cerdelga,EU/1/14/974/003,"Kapsula, cietā",Eliglustatum,Nē,Nē,,,,,,,
RAVICTI,EU/1/15/1062/001,Šķidrums iekšķīgai lietošanai,Glyceroli phenylbutyras,Nē,Nē,,,,,,,
Galafold,EU/1/15/1082/001,"Kapsula, cietā",Migalastatum,Nē,Nē,,,,,,,
Yargesa,EU/1/17/1176/001,"Kapsula, cietā",Miglustatum,Nē,Nē,,,,,,,
Cuprior,EU/1/17/1199/001,Tablete,Trientinum,Nē,Nē,,,,,,,
Cuprior,EU/1/17/1199/002,Tablete,Trientinum,Nē,Nē,,,,,,,
Ucedane,EU/1/17/1202/001,Disperģējamā tablete,Acidum carglumicum,Nē,Nē,,,,,,,
Ucedane,EU/1/17/1202/002,Disperģējamā tablete,Acidum carglumicum,Nē,Nē,,,,,,,
Xermelo,EU/1/17/1224/001,Apvalkotā tablete,Ethylis telotristas,Nē,Nē,,,,,,,
Xermelo,EU/1/17/1224/002,Apvalkotā tablete,Ethylis telotristas,Nē,Nē,,,,,,,
Miglustat Gen.Orph,EU/1/17/1232/001,"Kapsula, cietā",Miglustatum,Nē,Nē,,,,,,,
Nityr,EU/1/18/1290/001,Tablete,Nitisinonum,Nē,Nē,,,,,,,
Mepsevii,EU/1/18/1301/001,Koncentrāts infūziju šķīduma pagatavošanai,Vestronidasum alfa,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Miglustat Dipharma,EU/1/18/1346/001,"Kapsula, cietā",Miglustatum,Nē,Nē,,,,,,,
Miglustat Dipharma,EU/1/18/1346/002,"Kapsula, cietā",Miglustatum,Nē,Nē,,,,,,,
Miglustat Dipharma,EU/1/18/1346/003,"Kapsula, cietā",Miglustatum,Nē,Nē,,,,,,,
Palynziq,EU/1/19/1362/001,Šķīdums injekcijām,Pegvaliasum,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Palynziq,EU/1/19/1362/002,Šķīdums injekcijām,Pegvaliasum,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Palynziq,EU/1/19/1362/003,Šķīdums injekcijām,Pegvaliasum,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Palynziq,EU/1/19/1362/004,Šķīdums injekcijām,Pegvaliasum,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Cufence,EU/1/19/1365/001,"Kapsula, cietā",Trientini dihydrochloridum,Nē,Nē,,,,,,,
Givlaari,EU/1/20/1428/001,Pulveris injekciju suspensijas pagatavošanai,Givosiranum,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Oxlumo,EU/1/20/1496/001,Šķīdums injekcijām,Lumasiranum,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Sapropterin Dipharma,EU/1/21/1620/001,Šķīdināmā tablete,Sapropterinum,Nē,Nē,,,,,,,
Sapropterin Dipharma,EU/1/21/1620/002,Šķīdināmā tablete,Sapropterinum,Nē,Nē,,,,,,,
Sapropterin Dipharma,EU/1/21/1620/003,Pulveris iekšķīgi lietojama šķīduma pagatavošanai,Sapropterinum,Nē,Nē,,,,,,,
Sapropterin Dipharma,EU/1/21/1620/004,Pulveris iekšķīgi lietojama šķīduma pagatavošanai,Sapropterinum,Nē,Nē,,,,,,,
Amversio,EU/1/22/1640/001,Pulveris iekšķīgai lietošanai,Betainum anhydricum,Nē,Nē,,,,,,,
Upstaza,EU/1/22/1653/001,Šķīdums infūzijām,Eladocagenum exuparvovecum,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Xenpozyme,EU/1/22/1659/001,Pulveris infūziju šķīduma koncentrāta pagatavošanai,Olipudasum alfa,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Xenpozyme,EU/1/22/1659/002,Pulveris infūziju šķīduma koncentrāta pagatavošanai,Olipudasum alfa,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Xenpozyme,EU/1/22/1659/003,Pulveris infūziju šķīduma koncentrāta pagatavošanai,Olipudasum alfa,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Xenpozyme,EU/1/22/1659/004,Pulveris infūziju šķīduma koncentrāta pagatavošanai,Olipudasum alfa,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Xenpozyme,EU/1/22/1659/005,Pulveris infūziju šķīduma koncentrāta pagatavošanai,Olipudasum alfa,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Xenpozyme,EU/1/22/1659/006,Pulveris infūziju šķīduma koncentrāta pagatavošanai,Olipudasum alfa,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Xenpozyme,EU/1/22/1659/007,Pulveris infūziju šķīduma koncentrāta pagatavošanai,Olipudasum alfa,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Zokinvy,EU/1/22/1660/001,"Kapsula, cietā",Lonafarnibum,Nē,Nē,,,,,,,
Zokinvy,EU/1/22/1660/002,"Kapsula, cietā",Lonafarnibum,Nē,Nē,,,,,,,
Opfolda,EU/1/23/1737/001,"Kapsula, cietā",Miglustatum,Nē,Nē,,,,,,,
Opfolda,EU/1/23/1737/002,"Kapsula, cietā",Miglustatum,Nē,Nē,,,,,,,
Cystagon,EU/1/97/039/001,"Kapsula, cietā",Mercaptamini bitartras,Nē,Nē,,,,,,,
Cystagon,EU/1/97/039/002,"Kapsula, cietā",Mercaptamini bitartras,Nē,Nē,,,,,,,
Cystagon,EU/1/97/039/003,"Kapsula, cietā",Mercaptamini bitartras,Nē,Nē,,,,,,,
Cystagon,EU/1/97/039/004,"Kapsula, cietā",Mercaptamini bitartras,Nē,Nē,,,,,,,
Ammonaps,EU/1/99/120/001,Tablete,Natrii phenylbutyras,Nē,Nē,,,,,,,
Ammonaps,EU/1/99/120/002,Tablete,Natrii phenylbutyras,Nē,Nē,,,,,,,
Ammonaps,EU/1/99/120/003,Granulas,Natrii phenylbutyras,Nē,Nē,,,,,,,
Ammonaps,EU/1/99/120/004,Granulas,Natrii phenylbutyras,Nē,Nē,,,,,,,
Thiogamma 600 mg apvalkotās tabletes,I001357,Apvalkotā tablete,Acidum thiocticum,Nē,Nē,,,,,,,
Cyklokapron 500 mg apvalkotās tabletes,05-0582,Apvalkotā tablete,Acidum tranexamicum,Nē,Nē,,,,,,,
Dicynone 250 mg tabletes,97-0094,Tablete,Etamsylatum,Nē,Nē,,,,,,,
TachoSil,EU/1/04/277/001,Sīlanta matrice,"Fibrinogenum humanum, Thrombinum humanum",Nē,Nē,,,,,,,
TachoSil,EU/1/04/277/002,Sīlanta matrice,"Fibrinogenum humanum, Thrombinum humanum",Nē,Nē,,,,,,,
TachoSil,EU/1/04/277/003,Sīlanta matrice,"Fibrinogenum humanum, Thrombinum humanum",Nē,Nē,,,,,,,
TachoSil,EU/1/04/277/004,Sīlanta matrice,"Fibrinogenum humanum, Thrombinum humanum",Nē,Nē,,,,,,,
TachoSil,EU/1/04/277/005,Sīlanta matrice,"Fibrinogenum humanum, Thrombinum humanum",Nē,Nē,,,,,,,
Evicel,EU/1/08/473/001,Šķīdums sīlanta pagatavošanai,"Fibrinogenum humanum, Thrombinum humanum",Nē,Nē,,,,,,,
Evicel,EU/1/08/473/002,Šķīdums sīlanta pagatavošanai,"Fibrinogenum humanum, Thrombinum humanum",Nē,Nē,,,,,,,
Evicel,EU/1/08/473/003,Šķīdums sīlanta pagatavošanai,"Fibrinogenum humanum, Thrombinum humanum",Nē,Nē,,,,,,,
Revolade,EU/1/10/612/001,Apvalkotā tablete,Eltrombopagum,Nē,Nē,,,,,,,
Revolade,EU/1/10/612/002,Apvalkotā tablete,Eltrombopagum,Nē,Nē,,,,,,,
Revolade,EU/1/10/612/003,Apvalkotā tablete,Eltrombopagum,Nē,Nē,,,,,,,
Revolade,EU/1/10/612/004,Apvalkotā tablete,Eltrombopagum,Nē,Nē,,,,,,,
Revolade,EU/1/10/612/005,Apvalkotā tablete,Eltrombopagum,Nē,Nē,,,,,,,
Revolade,EU/1/10/612/006,Apvalkotā tablete,Eltrombopagum,Nē,Nē,,,,,,,
Revolade,EU/1/10/612/007,Apvalkotā tablete,Eltrombopagum,Nē,Nē,,,,,,,
Revolade,EU/1/10/612/008,Apvalkotā tablete,Eltrombopagum,Nē,Nē,,,,,,,
Revolade,EU/1/10/612/009,Apvalkotā tablete,Eltrombopagum,Nē,Nē,,,,,,,
Revolade,EU/1/10/612/010,Apvalkotā tablete,Eltrombopagum,Nē,Nē,,,,,,,
Revolade,EU/1/10/612/011,Apvalkotā tablete,Eltrombopagum,Nē,Nē,,,,,,,
Revolade,EU/1/10/612/012,Apvalkotā tablete,Eltrombopagum,Nē,Nē,,,,,,,
Revolade,EU/1/10/612/013,Pulveris iekšķīgi lietojamas suspensijas pagatavošanai,Eltrombopagum,Nē,Nē,,,,,,,
VeraSeal,EU/1/17/1239/001,Šķīdums sīlanta pagatavošanai,"Fibrinogenum humanum, Thrombinum humanum",Nē,Nē,,,,,,,
VeraSeal,EU/1/17/1239/002,Šķīdums sīlanta pagatavošanai,"Fibrinogenum humanum, Thrombinum humanum",Nē,Nē,,,,,,,
VeraSeal,EU/1/17/1239/003,Šķīdums sīlanta pagatavošanai,"Fibrinogenum humanum, Thrombinum humanum",Nē,Nē,,,,,,,
VeraSeal,EU/1/17/1239/004,Šķīdums sīlanta pagatavošanai,"Fibrinogenum humanum, Thrombinum humanum",Nē,Nē,,,,,,,
Mulpleo,EU/1/18/1348/001,Apvalkotā tablete,Lusutrombopagum,Nē,Nē,,,,,,,
Doptelet,EU/1/19/1373/001,Apvalkotā tablete,Avatrombopagum,Nē,Nē,,,,,,,
Doptelet,EU/1/19/1373/002,Apvalkotā tablete,Avatrombopagum,Nē,Nē,,,,,,,
Doptelet,EU/1/19/1373/003,Apvalkotā tablete,Avatrombopagum,Nē,Nē,,,,,,,
Tavlesse,EU/1/19/1405/001,Apvalkotā tablete,Fostamatinibum,Nē,Nē,,,,,,,
Tavlesse,EU/1/19/1405/002,Apvalkotā tablete,Fostamatinibum,Nē,Nē,,,,,,,
Ferrum Lek 100 mg košļājamās tabletes,00-0093,Košļājamā tablete,Ferri hydroxidum cum polymaltosi complexus,Nē,Nē,,,,,,,
Ferrum Lek 10 mg/ml sīrups,00-0561,Sīrups,Ferri hydroxidum cum polymaltosi complexus,Nē,Nē,,,,,,,
"Ferrola 114 mg/0,8 mg modificētās darbības tabletes",14-0111,Modificētās darbības tablete,"Ferrosi sulfas desiccatus, Acidum folicum",Nē,Nē,,,,,,,
"Fercelan 202,8 mg/0,8 mg/100 mg cietās kapsulas",17-0196,"Kapsula, cietā","Ferrosi fumaras, Acidum folicum, Acidum ascorbicum",Nē,Nē,,,,,,,
Tardyferon 80 mg ilgstošās darbības tabletes,21-0213,Ilgstošās darbības tablete,Ferrum,Nē,Nē,,,,,,,
"Arpella 60 mg/0,4 mg apvalkotās tabletes",23-0132,Apvalkotā tablete,"Ferrum, Acidum folicum",Nē,Nē,,,,,,,
Tardyliq 20 mg/ml šķīdums iekšķīgai lietošanai,23-0133,Šķīdums iekšķīgai lietošanai,Ferrum,Nē,Nē,,,,,,,
"Tot'hema 5 mg/0,133 mg/0,07 mg/ml šķīdums iekšķīgai lietošanai",98-0690,Šķīdums iekšķīgai lietošanai,"Ferrum, Manganum, Cuprum",Nē,Nē,,,,,,,
"Ferretab comp. 152,10 mg/0,50 mg ilgstošās darbības cietās kapsulas",99-0611,"Modificētās darbības kapsula, cietā","Acidum folicum, Ferrosi fumaras",Nē,Nē,,,,,,,
Feraccru,EU/1/15/1075/001,"Kapsula, cietā",Ferri maltolum,Nē,Nē,,,,,,,
Ferrum Lek 100 mg košļājamās tabletes,I001088,Košļājamā tablete,Ferri hydroxidum cum polymaltosi complexus,Nē,Nē,,,,,,,
"Ferretab comp. 50 mg/0,5 mg cietās kapsulas",I001182,"Kapsula, cietā","Ferrosi fumaras, Acidum folicum",Nē,Nē,,,,,,,
"Ferretab 50 mg + 0,5 mg ilgstošās darbības kapsulas",I001252,Ilgstošās darbības kapsula,"Acidum folicum, Ferrosi fumaras",Nē,Nē,,,,,,,
"Ferretab 50 mg + 0,5 mg ilgstošās darbības kapsulas",I001289,Ilgstošās darbības kapsula,"Acidum folicum, Ferrosi fumaras",Nē,Nē,,,,,,,
Ferrum Lek 100 mg košļājamās tabletes,I001410,Košļājamā tablete,Ferri hydroxidum cum polymaltosi complexus,Nē,Nē,,,,,,,
"Ferretab 50 mg + 0,5 mg ilgstošās darbības kapsulas",I001430,Ilgstošās darbības kapsula,"Acidum folicum, Ferrosi fumaras",Nē,Nē,,,,,,,
Folic acid Vitabalans 5 mg tabletes,19-0037,Tablete,Acidum folicum,Nē,Nē,,,,,,,
Orladeyo,EU/1/21/1544/001,"Kapsula, cietā",Berotralstatum,Nē,Nē,,,,,,,
Orladeyo,EU/1/21/1544/002,"Kapsula, cietā",Berotralstatum,Nē,Nē,,,,,,,
Jox 85 mg/1 mg/ml aerosols izsmidzināšanai mutes dobumā,00-0095,Aerosols izsmidzināšanai mutes dobumā,"Povidonum iodinatum, Allantoinum",Nē,Nē,,,,,,,
"Strepsils Vitamin C 1,2 mg/0,6 mg/100 mg sūkājamās tabletes",01-0356,Sūkājamā tablete,"Alcohol 2,4-Dichlorobenzylicus, Amylmetacresolum, Acidum ascorbicum, Natrii ascorbas",Nē,Nē,,,,,,,
"Strepsils Honey & Lemon 1,2 mg/0,6 mg sūkājamās tabletes",01-0357,Sūkājamā tablete,"Alcohol 2,4-Dichlorobenzylicus, Amylmetacresolum",Nē,Nē,,,,,,,
"Strepsils Cool Mint 1,2 mg/0,6 mg sūkājamās tabletes",01-0358,Sūkājamā tablete,"Alcohol 2,4-Dichlorobenzylicus, Amylmetacresolum",Nē,Nē,,,,,,,
"Strepsils Menthol & Eucalyptus 1,2 mg/0,6 mg/8 mg sūkājamās tabletes",01-0359,Sūkājamā tablete,"Alcohol 2,4-Dichlorobenzylicus, Amylmetacresolum, Levomentholum",Nē,Nē,,,,,,,
Hexalyse sūkājamās tabletes,03-0517,Sūkājamā tablete,"Biclotymolum, Lysozymi hydrochloridum, Enoxolonum",Nē,Nē,,,,,,,
Hexaspray 25 mg/g aerosols izsmidzināšanai mutes dobumā,03-0518,Aerosols izsmidzināšanai mutes dobumā,Biclotymolum,Nē,Nē,,,,,,,
"Strepsils Intensive 8,75 mg sūkājamās tabletes",04-0416,Sūkājamā tablete,Flurbiprofenum,Nē,Nē,,,,,,,
"Orofar 2 mg/1,5 mg/ml aerosols izsmidzināšanai mutes dobumā, šķīdums",05-0117,"Aerosols izsmidzināšanai mutes dobumā, šķīdums","Benzoxonium chloridum, Lidocaini hydrochloridum",Nē,Nē,,,,,,,
Orofar 1 mg/1 mg sūkājamās tabletes,05-0118,Sūkājamā tablete,"Benzoxonium chloridum, Lidocaini hydrochloridum",Nē,Nē,,,,,,,
Trachilid 8 mg sūkājamās tabletes,07-0125,Sūkājamā tablete,Lidocaini hydrochloridum,Nē,Nē,,,,,,,
Neo-angin cherry sūkājamās tabletes,11-0012,Sūkājamā tablete,"Alcohol 2,4-Dichlorobenzylicus, Amylmetacresolum, Levomentholum",Nē,Nē,,,,,,,
Neo-angin salvia sūkājamās tabletes,11-0013,Sūkājamā tablete,"Alcohol 2,4-Dichlorobenzylicus, Amylmetacresolum, Levomentholum",Nē,Nē,,,,,,,
Septabene ar eikaliptu 3 mg/1 mg sūkājamās tabletes,15-0172,Sūkājamā tablete,"Benzydamini hydrochloridum, Cetylpyridinii chloridum",Nē,Nē,,,,,,,
"Septabene 1,5 mg/5,0 mg/ml aerosols izsmidzināšanai mutes dobumā, šķīdums",15-0183,"Aerosols izsmidzināšanai mutes dobumā, šķīdums","Benzydamini hydrochloridum, Cetylpyridinii chloridum",Nē,Nē,,,,,,,
Septabene ar citronu un medu 3 mg/1 mg sūkājamās tabletes,17-0203,Sūkājamā tablete,"Benzydamini hydrochloridum, Cetylpyridinii chloridum",Nē,Nē,,,,,,,
Septabene ar citronu un plūškoku 3 mg/1 mg sūkājamās tabletes,17-0204,Sūkājamā tablete,"Benzydamini hydrochloridum, Cetylpyridinii chloridum",Nē,Nē,,,,,,,
"Strepsils Intensive 16,2 mg/ml aerosols izsmidzināšanai mutes dobumā, šķīdums",17-0212,"Aerosols izsmidzināšanai mutes dobumā, šķīdums",Flurbiprofenum,Nē,Nē,,,,,,,
"Polovox 8,75 mg/devā aerosols izsmidzināšanai mutes dobumā, šķīdums",19-0015,"Aerosols izsmidzināšanai mutes dobumā, šķīdums",Flurbiprofenum,Nē,Nē,,,,,,,
"Strepflam 8,75 mg sūkājamās tabletes",19-0108,Sūkājamā tablete,Flurbiprofenum,Nē,Nē,,,,,,,
"Strepsils Intensive Honey & Lemon 16,2 mg/ml aerosols izsmidzināšanai mutes dobumā, šķīdums",19-0179,"Aerosols izsmidzināšanai mutes dobumā, šķīdums",Flurbiprofenum,Nē,Nē,,,,,,,
"Tonzirin 8,75 mg sūkājamās tabletes",21-0095,Sūkājamā tablete,Flurbiprofenum,Nē,Nē,,,,,,,
"Flurbiprofen Reckitt Benckiser 8,75 mg sūkājamās tabletes",21-0206,Sūkājamā tablete,Flurbiprofenum,Nē,Nē,,,,,,,
"Strefen 8,75 mg sūkājamās tabletes",21-0212,Sūkājamā tablete,Flurbiprofenum,Nē,Nē,,,,,,,
"Decatylen 0,25 mg/0,03 mg sūkājamās tabletes",94-0234,Sūkājamā tablete,"Dequalinii chloridum, Cinchocaini hydrochloridum",Nē,Nē,,,,,,,
Neo-angin sūkājamās tabletes,97-0010,Sūkājamā tablete,"Alcohol 2,4-Dichlorobenzylicus, Amylmetacresolum, Levomentholum",Nē,Nē,,,,,,,
Neo-angin bez cukura sūkājamās tabletes,97-0083,Sūkājamā tablete,"Alcohol 2,4-Dichlorobenzylicus, Amylmetacresolum, Levomentholum",Nē,Nē,,,,,,,
"Hexoraletten N 5 mg/1,5 mg sūkājamās tabletes",98-0597,Sūkājamā tablete,"Chlorhexidini dihydrochloridum, Benzocainum",Nē,Nē,,,,,,,
Trachisan sūkājamās tabletes,99-0949,Sūkājamā tablete,"Tyrothricinum, Lidocaini hydrochloridum, Chlorhexidini digluconas",Nē,Nē,,,,,,,
"Spiriva Respimat 2,5 mikrogrami inhalācijas šķīdums",07-0241,Inhalācijas šķīdums,Tiotropium,Nē,Nē,,,,,,,
"Spiriva 18 mikrogrami inhalācijas pulveris, cietās kapsulas",11-0234,"Inhalācijas pulveris, cietā kapsula",Tiotropium,Nē,Nē,,,,,,,
"Braltus 10 mikrogrami saņemtajā devā, inhalācijas pulveris, cietās kapsulas",16-0144,"Inhalācijas pulveris, cietā kapsula",Tiotropium,Nē,Nē,,,,,,,
"Tiotropium Viatris 18 mikrogrami inhalācijas pulveris, cietās kapsulas",18-0168,"Inhalācijas pulveris, cietā kapsula",Tiotropium,Nē,Nē,,,,,,,
